id,fecha,columna,codigo_bcrp,valor_procesado,valor_en_fuente,resultado,url_cotejo
32,2018-02-14,tea_hipotecaria_mensual,PN07848NM,8.61268669029993,8.61268669029993,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2018-2/2018-2/esp
32,2018-02-14,rend_bono10_pen,PD31893DD,4.8,4.8,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2018-2-14/2018-2-14/esp
32,2018-02-14,tasa_referencia,PD12301MD,3.0,3,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2018-2-14/2018-2-14/esp
32,2018-02-14,rend_bono10_usa,PD04719XD,2.903,2.903,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2018-2-14/2018-2-14/esp
32,2018-02-14,tipo_cambio,PD04640PD,3.27,3.27,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2018-2-14/2018-2-14/esp
946,2021-08-17,tea_hipotecaria_mensual,PN07848NM,6.79395314309815,6.79395314309815,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2021-8/2021-8/esp
946,2021-08-17,rend_bono10_pen,PD31893DD,6.49,6.49,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2021-8-17/2021-8-17/esp
946,2021-08-17,tasa_referencia,PD12301MD,0.5,0.5,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2021-8-17/2021-8-17/esp
946,2021-08-17,rend_bono10_usa,PD04719XD,1.267,1.267,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2021-8-17/2021-8-17/esp
946,2021-08-17,tipo_cambio,PD04640PD,4.089,4.089,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2021-8-17/2021-8-17/esp
974,2021-09-24,tea_hipotecaria_mensual,PN07848NM,6.74763122700596,6.74763122700596,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2021-9/2021-9/esp
974,2021-09-24,rend_bono10_pen,PD31893DD,6.3,6.3,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2021-9-24/2021-9-24/esp
974,2021-09-24,tasa_referencia,PD12301MD,1.0,1,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2021-9-24/2021-9-24/esp
974,2021-09-24,rend_bono10_usa,PD04719XD,1.453,1.453,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2021-9-24/2021-9-24/esp
974,2021-09-24,tipo_cambio,PD04640PD,4.111,4.111,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2021-9-24/2021-9-24/esp
1013,2021-11-18,tea_hipotecaria_mensual,PN07848NM,6.69381541134265,6.69381541134265,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2021-11/2021-11/esp
1013,2021-11-18,rend_bono10_pen,PD31893DD,5.87,5.87,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2021-11-18/2021-11-18/esp
1013,2021-11-18,tasa_referencia,PD12301MD,2.0,2,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2021-11-18/2021-11-18/esp
1013,2021-11-18,rend_bono10_usa,PD04719XD,1.587,1.587,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2021-11-18/2021-11-18/esp
1013,2021-11-18,tipo_cambio,PD04640PD,4.02,4.02,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2021-11-18/2021-11-18/esp
1263,2022-11-03,tea_hipotecaria_mensual,PN07848NM,6.83356400159313,6.83356400159313,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2022-11/2022-11/esp
1263,2022-11-03,rend_bono10_pen,PD31893DD,8.24,8.24,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2022-11-3/2022-11-3/esp
1263,2022-11-03,tasa_referencia,PD12301MD,7.0,7,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2022-11-3/2022-11-3/esp
1263,2022-11-03,rend_bono10_usa,PD04719XD,4.149,4.149,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2022-11-3/2022-11-3/esp
1263,2022-11-03,tipo_cambio,PD04640PD,3.973,3.973,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2022-11-3/2022-11-3/esp
1442,2023-07-12,tea_hipotecaria_mensual,PN07848NM,7.11581081328546,7.11581081328546,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2023-7/2023-7/esp
1442,2023-07-12,rend_bono10_pen,PD31893DD,6.8,n.d.,n.d. en la fuente: último valor observado (imputado = 1),https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2023-7-12/2023-7-12/esp
1442,2023-07-12,tasa_referencia,PD12301MD,7.75,7.75,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2023-7-12/2023-7-12/esp
1442,2023-07-12,rend_bono10_usa,PD04719XD,3.861,3.861,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2023-7-12/2023-7-12/esp
1442,2023-07-12,tipo_cambio,PD04640PD,3.599,3.599,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2023-7-12/2023-7-12/esp
1712,2024-07-24,tea_hipotecaria_mensual,PN07848NM,7.37119365001268,7.37119365001268,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2024-7/2024-7/esp
1712,2024-07-24,rend_bono10_pen,PD31893DD,6.98,6.98,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2024-7-24/2024-7-24/esp
1712,2024-07-24,tasa_referencia,PD12301MD,5.75,5.75,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2024-7-24/2024-7-24/esp
1712,2024-07-24,rend_bono10_usa,PD04719XD,4.285,4.285,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2024-7-24/2024-7-24/esp
1712,2024-07-24,tipo_cambio,PD04640PD,3.778,3.778,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2024-7-24/2024-7-24/esp
1947,2025-06-18,tea_hipotecaria_mensual,PN07848NM,7.4430846579992,7.4430846579992,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2025-6/2025-6/esp
1947,2025-06-18,rend_bono10_pen,PD31893DD,6.39,6.39,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2025-6-18/2025-6-18/esp
1947,2025-06-18,tasa_referencia,PD12301MD,4.5,4.5,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2025-6-18/2025-6-18/esp
1947,2025-06-18,rend_bono10_usa,PD04719XD,4.393,4.393,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2025-6-18/2025-6-18/esp
1947,2025-06-18,tipo_cambio,PD04640PD,3.604,3.604,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2025-6-18/2025-6-18/esp
2025,2025-10-06,tea_hipotecaria_mensual,PN07848NM,7.45040722530117,7.45040722530117,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2025-10/2025-10/esp
2025,2025-10-06,rend_bono10_pen,PD31893DD,6.15,6.15,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2025-10-6/2025-10-6/esp
2025,2025-10-06,tasa_referencia,PD12301MD,4.25,4.25,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD12301MD/json/2025-10-6/2025-10-6/esp
2025,2025-10-06,rend_bono10_usa,PD04719XD,4.154,4.154,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04719XD/json/2025-10-6/2025-10-6/esp
2025,2025-10-06,tipo_cambio,PD04640PD,3.465,3.465,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04640PD/json/2025-10-6/2025-10-6/esp
2244,2026-08-07,tea_hipotecaria_mensual,PN07848NM,7.47497280199697,7.47497280199697,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN07848NM/json/2026-8/2026-8/esp
2244,2026-08-07,rend_bono10_pen,PD31893DD,6.15,6.15,coincide,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD31893DD/json/2026-8-7/2026-8-7/esp
