modelo,variable,coeficiente,error_estandar_HAC,t,p_valor,elasticidad_en_medias
Modelo 1 (niveles),const,171041.358833,5869.412828,29.141136,0.0,
Modelo 1 (niveles),tasa_referencia,995.411962,276.279582,3.602915,0.000315,0.011584
Modelo 1 (niveles),rend_bono10_usa,-1122.136364,553.291419,-2.028111,0.042549,-0.010189
Modelo 1 (niveles),tipo_cambio,43095.471297,1635.61859,26.348118,0.0,0.474965
Modelo 1 (niveles),R2,0.703604,,,,
Modelo 1 (niveles),R2_ajustado,0.70321,,,,
Modelo 1 (niveles),Durbin_Watson,0.090166,,,,
Modelo 1 (niveles),n_observaciones,2260.0,,,,
Modelo 1 (niveles),rezagos_Newey_West,7.0,,,,
"Modelo 2 (cambios, winsorizados)",const,30.335762,28.388989,1.068575,0.285261,
"Modelo 2 (cambios, winsorizados)",d_tasa_referencia,-2398.86095,805.688066,-2.977407,0.002907,
"Modelo 2 (cambios, winsorizados)",d_rend_bono10_usa,-6674.342589,751.222762,-8.884638,0.0,
"Modelo 2 (cambios, winsorizados)",d_tipo_cambio,-37421.273222,3306.264215,-11.318295,0.0,
"Modelo 2 (cambios, winsorizados)",R2,0.176515,,,,
"Modelo 2 (cambios, winsorizados)",R2_ajustado,0.17542,,,,
"Modelo 2 (cambios, winsorizados)",Durbin_Watson,1.827426,,,,
"Modelo 2 (cambios, winsorizados)",n_observaciones,2259.0,,,,
"Modelo 2 (cambios, winsorizados)",rezagos_Newey_West,7.0,,,,
"Modelo 3 (cambios, sin tratar)",const,23.088785,33.460485,0.690031,0.490174,
"Modelo 3 (cambios, sin tratar)",d_tasa_referencia,-3467.848658,1647.844827,-2.104475,0.035337,
"Modelo 3 (cambios, sin tratar)",d_rend_bono10_usa,-5788.738795,1109.809664,-5.215974,0.0,
"Modelo 3 (cambios, sin tratar)",d_tipo_cambio,-44499.417126,6780.701755,-6.562657,0.0,
"Modelo 3 (cambios, sin tratar)",R2,0.161998,,,,
"Modelo 3 (cambios, sin tratar)",R2_ajustado,0.160883,,,,
"Modelo 3 (cambios, sin tratar)",Durbin_Watson,1.969371,,,,
"Modelo 3 (cambios, sin tratar)",n_observaciones,2259.0,,,,
"Modelo 3 (cambios, sin tratar)",rezagos_Newey_West,7.0,,,,
