fecha,variable,cambio_original,limite_inferior,limite_superior,cambio_tratado
2019-12-19,vp_credito,-9054.0438,-4836.8952,4874.6868,-4836.8952
2020-02-28,vp_credito,-5806.652,-4836.8952,4874.6868,-4836.8952
2020-03-02,vp_credito,7503.1816,-4836.8952,4874.6868,4874.6868
2020-03-10,rend_bono10_usa,0.262,-0.225,0.23,0.23
2020-03-12,vp_credito,-15429.4122,-4836.8952,4874.6868,-4836.8952
2020-03-16,rend_bono10_usa,-0.243,-0.225,0.23,-0.225
2020-03-16,vp_credito,-15330.3101,-4836.8952,4874.6868,-4836.8952
2020-03-17,rend_bono10_usa,0.361,-0.225,0.23,0.23
2020-03-18,vp_credito,-12536.1033,-4836.8952,4874.6868,-4836.8952
2020-03-19,vp_credito,7834.52,-4836.8952,4874.6868,4874.6868
2020-03-20,rend_bono10_usa,-0.296,-0.225,0.23,-0.225
2020-03-25,vp_credito,19224.8848,-4836.8952,4874.6868,4874.6868
2020-03-26,tipo_cambio,-0.064,-0.042,0.042,-0.042
2020-03-26,vp_credito,6843.4287,-4836.8952,4874.6868,4874.6868
2020-03-30,vp_credito,-5785.143,-4836.8952,4874.6868,-4836.8952
2020-04-01,vp_credito,-9726.6272,-4836.8952,4874.6868,-4836.8952
2020-04-06,tipo_cambio,-0.045,-0.042,0.042,-0.042
2020-04-07,vp_credito,8312.9689,-4836.8952,4874.6868,4874.6868
2020-04-13,vp_credito,11720.2556,-4836.8952,4874.6868,4874.6868
2020-04-14,vp_credito,8896.6878,-4836.8952,4874.6868,4874.6868
2020-04-15,vp_credito,-5485.5041,-4836.8952,4874.6868,-4836.8952
2020-05-08,vp_credito,5461.1804,-4836.8952,4874.6868,4874.6868
2020-11-18,tipo_cambio,-0.05,-0.042,0.042,-0.042
2021-04-06,tipo_cambio,-0.06,-0.042,0.042,-0.042
2021-04-19,tipo_cambio,0.044,-0.042,0.042,0.042
2021-04-22,tipo_cambio,0.058,-0.042,0.042,0.042
2021-04-26,tipo_cambio,0.055,-0.042,0.042,0.042
2021-04-26,vp_credito,-5369.4498,-4836.8952,4874.6868,-4836.8952
2021-05-11,tipo_cambio,-0.067,-0.042,0.042,-0.042
2021-05-24,tipo_cambio,0.051,-0.042,0.042,0.042
2021-05-28,tipo_cambio,-0.057,-0.042,0.042,-0.042
2021-06-07,tipo_cambio,0.085,-0.042,0.042,0.042
2021-06-07,vp_credito,-7438.6229,-4836.8952,4874.6868,-4836.8952
2021-06-09,tipo_cambio,-0.06,-0.042,0.042,-0.042
2021-06-09,vp_credito,-5577.747,-4836.8952,4874.6868,-4836.8952
2021-06-28,tipo_cambio,-0.053,-0.042,0.042,-0.042
2021-06-28,vp_credito,6603.4473,-4836.8952,4874.6868,4874.6868
2021-06-30,tipo_cambio,-0.066,-0.042,0.042,-0.042
2021-07-16,tipo_cambio,-0.048,-0.042,0.042,-0.042
2021-07-30,tipo_cambio,0.12,-0.042,0.042,0.042
2021-07-30,vp_credito,-24237.9492,-4836.8952,4874.6868,-4836.8952
2021-08-02,vp_credito,11659.1571,-4836.8952,4874.6868,4874.6868
2021-08-03,vp_credito,5243.2644,-4836.8952,4874.6868,4874.6868
2021-08-06,vp_credito,-5660.7268,-4836.8952,4874.6868,-4836.8952
2021-08-24,vp_credito,6219.8823,-4836.8952,4874.6868,4874.6868
2021-08-27,vp_credito,5467.7195,-4836.8952,4874.6868,4874.6868
2021-10-07,vp_credito,5350.8831,-4836.8952,4874.6868,4874.6868
2021-10-13,tipo_cambio,-0.065,-0.042,0.042,-0.042
2021-10-14,tipo_cambio,-0.052,-0.042,0.042,-0.042
2022-02-10,tipo_cambio,-0.067,-0.042,0.042,-0.042
2022-02-24,tipo_cambio,0.073,-0.042,0.042,0.042
2022-03-29,vp_credito,4917.1324,-4836.8952,4874.6868,4874.6868
2022-04-05,tipo_cambio,0.056,-0.042,0.042,0.042
2022-04-25,tipo_cambio,0.049,-0.042,0.042,0.042
2022-04-25,vp_credito,-4888.4269,-4836.8952,4874.6868,-4836.8952
2022-04-27,vp_credito,6913.0176,-4836.8952,4874.6868,4874.6868
2022-05-05,vp_credito,-5043.1119,-4836.8952,4874.6868,-4836.8952
2022-05-06,vp_credito,-5643.9997,-4836.8952,4874.6868,-4836.8952
2022-07-07,vp_credito,-5586.7736,-4836.8952,4874.6868,-4836.8952
2022-07-12,vp_credito,-5808.6952,-4836.8952,4874.6868,-4836.8952
2022-07-15,tipo_cambio,-0.052,-0.042,0.042,-0.042
2022-08-01,vp_credito,5288.9054,-4836.8952,4874.6868,4874.6868
2022-11-10,rend_bono10_usa,-0.288,-0.225,0.23,-0.225
2022-11-10,tipo_cambio,-0.048,-0.042,0.042,-0.042
2022-11-14,vp_credito,-4936.9956,-4836.8952,4874.6868,-4836.8952
2022-12-07,vp_credito,-5169.4294,-4836.8952,4874.6868,-4836.8952
2023-01-09,vp_credito,6226.4841,-4836.8952,4874.6868,4874.6868
2023-02-24,vp_credito,-5318.1119,-4836.8952,4874.6868,-4836.8952
2023-09-27,vp_credito,-4991.1676,-4836.8952,4874.6868,-4836.8952
2023-11-02,vp_credito,7726.6525,-4836.8952,4874.6868,4874.6868
2023-11-03,tipo_cambio,-0.048,-0.042,0.042,-0.042
2023-12-14,vp_credito,5040.552,-4836.8952,4874.6868,4874.6868
2024-02-05,vp_credito,-5321.5337,-4836.8952,4874.6868,-4836.8952
