id,dia,mes,anio,vp_credito,tasa_referencia,rend_bono10_usa,tipo_cambio,tea_hipotecaria_mensual,rend_bono10_pen,tea_hipotecaria_diaria,imputado,atipico,d_vp_credito,d_tasa_referencia,d_rend_bono10_usa,d_tipo_cambio
1,2,1,2018,293744.79,3.25,2.464,3.23,8.65949143176977,5.13,8.971396,1,0,,,,
2,3,1,2018,293744.79,3.25,2.448,3.23,8.65949143176977,5.13,8.971396,0,0,0.0,0.0,-0.016,0.0
3,4,1,2018,296725.49,3.25,2.453,3.208,8.65949143176977,4.98,8.821396,0,0,2980.7,0.0,0.005,-0.022
4,5,1,2018,297931.99,3.25,2.477,3.215,8.65949143176977,4.92,8.761396,0,0,1206.49,0.0,0.024,0.007
5,8,1,2018,296926.01,3.25,2.481,3.219,8.65949143176977,4.97,8.811396,0,0,-1005.98,0.0,0.004,0.004
6,9,1,2018,296125.31,3.25,2.554,3.22,8.65949143176977,5.01,8.851396,0,0,-800.7,0.0,0.073,0.001
7,10,1,2018,295527.15,3.25,2.558,3.22,8.65949143176977,5.04,8.881396,0,0,-598.15,0.0,0.004,0.0
8,11,1,2018,297528.91,3.25,2.538,3.218,8.65949143176977,4.94,8.781396,0,0,2001.76,0.0,-0.02,-0.002
9,12,1,2018,300165.31,3.0,2.548,3.217,8.65949143176977,4.81,8.651396,0,0,2636.4,-0.25,0.01,-0.001
10,15,1,2018,302013.44,3.0,2.548,3.216,8.65949143176977,4.72,8.561396,0,0,1848.13,0.0,0.0,-0.001
11,16,1,2018,302442.21,3.0,2.538,3.217,8.65949143176977,4.7,8.540648,0,0,428.76,0.0,-0.01,0.001
12,17,1,2018,301426.1,3.0,2.591,3.212,8.65949143176977,4.75,8.589899,0,0,-1016.11,0.0,0.053,-0.005
13,18,1,2018,302059.81,3.0,2.627,3.213,8.65949143176977,4.72,8.55915,0,0,633.71,0.0,0.036,0.001
14,19,1,2018,302281.86,3.0,2.66,3.217,8.65949143176977,4.71,8.548401,0,0,222.05,0.0,0.033,0.004
15,22,1,2018,301709.07,3.0,2.651,3.216,8.65949143176977,4.74,8.576155,0,0,-572.79,0.0,-0.009,-0.001
16,23,1,2018,301930.69,3.0,2.614,3.219,8.65949143176977,4.73,8.565407,0,0,221.62,0.0,-0.037,0.003
17,24,1,2018,302152.58,3.0,2.647,3.214,8.65949143176977,4.72,8.554658,0,0,221.89,0.0,0.033,-0.005
18,25,1,2018,302374.74,3.0,2.618,3.21,8.65949143176977,4.71,8.543909,0,0,222.16,0.0,-0.029,-0.004
19,26,1,2018,302183.51,3.0,2.661,3.215,8.65949143176977,4.72,8.553161,0,0,-191.23,0.0,0.043,0.005
20,29,1,2018,301817.09,3.0,2.695,3.219,8.65949143176977,4.74,8.570914,0,0,-366.42,0.0,0.034,0.004
21,30,1,2018,302245.39,3.0,2.721,3.217,8.65949143176977,4.72,8.550166,0,0,428.3,0.0,0.026,-0.002
22,31,1,2018,302674.7,3.0,2.706,3.217,8.65949143176977,4.7,8.529417,0,0,429.31,0.0,-0.015,0.0
23,1,2,2018,303312.79,3.0,2.791,3.213,8.61268669029993,4.67,8.498668,0,0,638.09,0.0,0.085,-0.004
24,2,2,2018,303120.58,3.0,2.842,3.218,8.61268669029993,4.68,8.50792,0,0,-192.22,0.0,0.051,0.005
25,5,2,2018,302752.27,3.0,2.707,3.225,8.61268669029993,4.7,8.525674,0,0,-368.31,0.0,-0.135,0.007
26,6,2,2018,302353.73,3.0,2.803,3.251,8.61268669029993,4.72,8.544925,0,0,-398.53,0.0,0.096,0.026
27,7,2,2018,302576.14,3.0,2.837,3.247,8.61268669029993,4.71,8.534176,0,0,222.41,0.0,0.034,-0.004
28,8,2,2018,301765.28,3.0,2.825,3.254,8.61268669029993,4.75,8.573428,0,0,-810.86,0.0,-0.012,0.007
29,9,2,2018,300343.49,3.0,2.852,3.27,8.61268669029993,4.82,8.642679,0,0,-1421.79,0.0,0.027,0.016
30,12,2,2018,300799.0,3.0,2.859,3.265,8.61268669029993,4.8,8.620433,0,0,455.51,0.0,0.007,-0.005
31,13,2,2018,300814.35,3.0,2.83,3.27,8.61268669029993,4.8,8.619684,0,0,15.35,0.0,-0.029,0.005
32,14,2,2018,300829.71,3.0,2.903,3.27,8.61268669029993,4.8,8.618935,0,0,15.35,0.0,0.073,0.0
33,15,2,2018,300640.1,3.0,2.91,3.25,8.61268669029993,4.81,8.628187,0,0,-189.6,0.0,0.007,-0.02
34,16,2,2018,300720.51,3.0,2.876,3.243,8.61268669029993,4.81,8.624262,0,0,80.41,0.0,-0.034,-0.007
35,19,2,2018,299734.92,3.0,2.876,3.25,8.61268669029993,4.87,8.672488,0,0,-985.59,0.0,0.0,0.007
36,20,2,2018,300223.2,3.0,2.89,3.253,8.61268669029993,4.85,8.648563,0,0,488.27,0.0,0.014,0.003
37,21,2,2018,300507.99,3.0,2.951,3.249,8.61268669029993,4.84,8.634639,0,0,284.8,0.0,0.061,-0.004
38,22,2,2018,300179.25,3.0,2.922,3.251,8.61268669029993,4.86,8.650714,0,0,-328.74,0.0,-0.029,0.002
39,23,2,2018,300259.46,3.0,2.868,3.251,8.61268669029993,4.86,8.646789,0,0,80.21,0.0,-0.054,0.0
