fecha,rend_bono10_pen,rend_bono10_usa,tasa_referencia,tipo_cambio,cambio_bono10_pen,cambio_bono10_usa,cambio_tipo_cambio,variables_que_lo_marcan
2021-04-06,4.79,1.658,0.25,3.661,-0.1200000000000001,-0.049000000000000155,-0.06000000000000005,tipo_cambio
2021-04-22,5.36,1.5416,0.25,3.763,0.20000000000000018,-0.01739999999999986,0.05799999999999983,tipo_cambio
2021-04-26,5.65,1.572,0.25,3.831,0.23000000000000043,0.012499999999999956,0.05500000000000016,tipo_cambio
2021-05-11,4.89,1.622,0.25,3.709,0.009999999999999787,0.018000000000000016,-0.06699999999999973,tipo_cambio
2021-05-28,4.82,1.581,0.25,3.808,-0.10999999999999943,-0.025000000000000133,-0.057000000000000384,tipo_cambio
2021-06-07,5.0,1.569,0.25,3.912,0.3200000000000003,0.01200000000000001,0.08499999999999996,"rend_bono10_pen, tipo_cambio"
2021-06-09,5.15,1.492,0.25,3.894,0.23000000000000043,-0.04600000000000004,-0.06000000000000005,tipo_cambio
2021-06-30,5.37,1.468,0.25,3.866,0.020000000000000462,-0.014000000000000012,-0.06599999999999984,tipo_cambio
2021-07-30,6.45,1.226,0.25,4.044,0.9800000000000004,-0.013000000000000123,0.11999999999999966,"rend_bono10_pen, tipo_cambio"
2021-08-02,6.05,1.179,0.25,4.061,-0.40000000000000036,-0.04699999999999993,0.017000000000000348,rend_bono10_pen
2021-10-13,5.78,1.542,1.5,4.002,0.020000000000000462,-0.030000000000000027,-0.06500000000000039,tipo_cambio
2022-02-10,6.1,2.043,3.0,3.767,0.05999999999999961,0.09800000000000009,-0.06700000000000017,tipo_cambio
2022-02-24,6.04,1.97,3.5,3.788,0.040000000000000036,-0.028000000000000025,0.07299999999999995,tipo_cambio
2022-04-05,6.86,2.554,4.0,3.69,0.07000000000000028,0.16100000000000003,0.05600000000000005,tipo_cambio
2022-11-10,7.53,3.811,7.0,3.87,-0.17999999999999972,-0.28800000000000026,-0.04800000000000004,rend_bono10_usa
2023-07-13,6.67,3.767,7.75,3.573,-0.1299999999999999,-0.2330000000000001,-0.06999999999999984,tipo_cambio
2023-11-02,7.32,4.66,7.25,3.807,-0.33999999999999986,-0.27200000000000024,-0.03500000000000014,"rend_bono10_pen, rend_bono10_usa"
2024-03-26,7.33,4.233,6.25,3.727,0.3200000000000003,-0.013000000000000789,0.020000000000000018,rend_bono10_pen
2024-04-03,7.2,4.348,6.25,3.694,-0.29000000000000004,-0.0019999999999997797,-0.016999999999999904,rend_bono10_pen
2026-04-08,6.26,4.293,4.25,3.399,-0.29000000000000004,-0.0019999999999997797,-0.039000000000000146,rend_bono10_pen
2026-06-08,6.1,4.564,4.25,3.498,-0.15000000000000036,0.03300000000000036,0.05500000000000016,tipo_cambio
2026-06-09,5.95,4.518,4.25,3.375,-0.14999999999999947,-0.04600000000000026,-0.12300000000000022,tipo_cambio
