plazo_anios,duracion_macaulay_anios,duracion_modificada,convexidad
5,2.3895,2.2208,8.7833
6,2.8228,2.6235,11.8872
7,3.2441,3.0151,15.3737
8,3.6535,3.3956,19.2142
9,4.0511,3.7651,23.3811
10,4.437,4.1238,27.8473
11,4.8114,4.4717,32.5866
12,5.1743,4.809,37.5734
13,5.5259,5.1358,42.783
14,5.8664,5.4523,48.1916
15,6.1959,5.7585,53.7761
16,6.5145,6.0546,59.5145
17,6.8225,6.3409,65.3855
18,7.12,6.6174,71.3688
19,7.4073,6.8844,77.445
20,7.6844,7.1419,83.5955
21,7.9517,7.3903,89.8029
22,8.2092,7.6297,96.0504
23,8.4573,7.8603,102.3224
24,8.6962,8.0823,108.604
25,8.926,8.2959,114.8813
26,9.147,8.5013,121.1413
27,9.3594,8.6987,127.3717
28,9.5634,8.8883,133.5614
29,9.7593,9.0703,139.6999
30,9.9472,9.245,145.7774
