fecha,variable,cambio_original,limite_inferior,limite_superior,cambio_tratado
2021-04-06,tipo_cambio,-0.06,-0.053,0.052,-0.053
2021-04-22,tipo_cambio,0.058,-0.053,0.052,0.052
2021-04-26,tipo_cambio,0.055,-0.053,0.052,0.052
2021-05-11,tipo_cambio,-0.067,-0.053,0.052,-0.053
2021-05-28,tipo_cambio,-0.057,-0.053,0.052,-0.053
2021-06-07,tipo_cambio,0.085,-0.053,0.052,0.052
2021-06-07,vp_credito,-6802.7461,-5416.6905,5430.8729,-5416.6905
2021-06-09,tipo_cambio,-0.06,-0.053,0.052,-0.053
2021-06-28,vp_credito,6038.964,-5416.6905,5430.8729,5430.8729
2021-06-30,tipo_cambio,-0.066,-0.053,0.052,-0.053
2021-07-30,tipo_cambio,0.12,-0.053,0.052,0.052
2021-07-30,vp_credito,-20969.5323,-5416.6905,5430.8729,-5416.6905
2021-08-02,vp_credito,10662.4959,-5416.6905,5430.8729,5430.8729
2021-08-24,vp_credito,5688.1873,-5416.6905,5430.8729,5430.8729
2021-10-13,tipo_cambio,-0.065,-0.053,0.052,-0.053
2022-02-10,tipo_cambio,-0.067,-0.053,0.052,-0.053
2022-02-24,tipo_cambio,0.073,-0.053,0.052,0.052
2022-04-05,tipo_cambio,0.056,-0.053,0.052,0.052
2022-04-27,vp_credito,6322.0712,-5416.6905,5430.8729,5430.8729
2022-11-10,rend_bono10_usa,-0.288,-0.255,0.263,-0.255
2023-01-09,vp_credito,5694.2248,-5416.6905,5430.8729,5430.8729
2023-07-13,tipo_cambio,-0.07,-0.053,0.052,-0.053
2023-11-02,rend_bono10_usa,-0.272,-0.255,0.263,-0.255
2023-11-02,vp_credito,6737.2433,-5416.6905,5430.8729,5430.8729
2024-03-26,vp_credito,-6707.2167,-5416.6905,5430.8729,-5416.6905
2024-04-03,vp_credito,6494.0735,-5416.6905,5430.8729,5430.8729
2026-04-08,vp_credito,6063.9876,-5416.6905,5430.8729,5430.8729
2026-06-05,vp_credito,-5485.7703,-5416.6905,5430.8729,-5416.6905
2026-06-08,tipo_cambio,0.055,-0.053,0.052,0.052
2026-06-09,tipo_cambio,-0.123,-0.053,0.052,-0.053
